id;link;nama_usaha;kategori;alamat;no_telp;jenis_platform;maps
449;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
450;https://www.tokopedia.com/samisutra;SAMI SUTRA;Fashion Wanita;Bandar Lampung;;Tokopedia;
451;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
452;https://www.tokopedia.com/sella-tapis;Sella Tapis;Fashion Muslim;Bandar Lampung;;Tokopedia;
453;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
454;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
455;https://www.tokopedia.com/supplier-tapis;Supplier tapis;Fashion Wanita;Kab. Pesawaran;;Tokopedia;
456;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Kecantikan;Bandar Lampung;;Tokopedia;
457;https://www.tokopedia.com/tapisinaja-k4;TapisinAja K4;Fashion Wanita;Bandar Lampung;;Tokopedia;
458;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
459;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
460;https://www.tokopedia.com/desti-tapis;desti tapis;Fashion Muslim;Bandar Lampung;;Tokopedia;
461;https://www.tokopedia.com/lampung-ethnica;Lampung Ethnica_NEW;Fashion Wanita;Kab. Lampung Timur;;Tokopedia;
462;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
463;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Wanita;Bandar Lampung;;Tokopedia;
464;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
465;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
466;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
467;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
468;https://www.tokopedia.com/sellacraft;Sellacraft_NEW;Fashion Muslim;Bandar Lampung;;Tokopedia;
469;https://www.tokopedia.com/supplier-tapis;Supplier tapis;Fashion Wanita;Kab. Pesawaran;;Tokopedia;
470;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
471;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
472;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
473;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
474;https://www.tokopedia.com/samisutra;SAMI SUTRA;Fashion Wanita;Bandar Lampung;;Tokopedia;
475;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Muslim;Bandar Lampung;;Tokopedia;
476;https://www.tokopedia.com/samisutra;SAMI SUTRA;Office & Stationery;Bandar Lampung;;Tokopedia;
477;https://www.tokopedia.com/sefti-tapis;Sefti tapis;Fashion Wanita;Bandar Lampung;;Tokopedia;
478;https://www.tokopedia.com/sambordir-tapis-lampung;SamBordir Tapis Lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
479;https://www.tokopedia.com/sella-tapis;Sella Tapis;Kecantikan;Bandar Lampung;;Tokopedia;
480;https://www.tokopedia.com/nitapis-lampung;Nitapis lampung;Office & Stationery;Bandar Lampung;;Tokopedia;
481;https://www.tokopedia.com/supplier-tapis;Supplier tapis;Fashion Wanita;Kab. Pesawaran;;Tokopedia;
482;https://www.tokopedia.com/sambordir-tapis-lampung;SamBordir Tapis Lampung;Fashion Wanita;Bandar Lampung;;Tokopedia;
